;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
0;5468;5971;6066;6335;6959;6924;5927;5666;5086;4669;4834;4188
1;5565;5553;5990;6131;6370;7025;7049;6017;5755;5127;4485;4897
2;5502;5652;5591;6079;6200;6436;7134;7206;6142;5833;4997;4565
3;5212;5532;5698;5678;6160;6274;6509;7239;7284;6295;5768;5090
4;4882;5249;5548;5783;5742;6228;6328;6596;7321;7396;6299;5807
5;4483;4902;5297;5628;5847;5790;6353;6430;6693;7420;7138;6355
6;4342;4537;4963;5389;5694;5950;5931;6505;6594;6822;7345;7216
7;4502;4411;4653;5115;5539;5810;6095;6110;6657;6752;6124;7488
8;4239;4535;4454;4688;5124;5545;5883;6165;6177;6717;5975;6179
9;4272;4271;4558;4499;4721;5172;5587;5952;6220;6223;5883;6012
10;3806;4308;4294;4608;4509;4738;5216;5651;5988;6243;5324;5907
11;3628;3819;4328;4323;4651;4547;4784;5305;5734;6052;5476;5358
12;3435;3660;3833;4343;4336;4694;4602;4822;5343;5774;5077;5492
13;3556;3460;3677;3849;4357;4376;4732;4650;4872;5388;4701;5110
14;3343;3558;3469;3723;3846;4379;4420;4796;4687;4926;4363;4724
15;3597;3397;3620;3555;3782;3918;4462;4503;4902;4764;4447;4456
16;4149;3975;3801;4103;4065;4295;4455;5092;5221;5427;5089;5140
17;4929;4403;4303;4145;4430;4275;4557;4766;5375;5436;4917;5393
18;6005;5646;5216;5203;4942;4820;4805;5152;5679;6067;5539;5583
19;7896;6383;6080;5306;5232;5055;5298;4998;5265;5443;5334;5383
20;8184;8235;6427;5955;5089;5012;4820;4947;4612;4892;5192;4950
21;8817;8469;8206;6238;5594;4806;4812;4519;4684;4443;4615;4997
22;9143;8888;8240;8050;5709;5186;4489;4366;4144;4374;4127;4349
23;8782;9212;8833;8138;7785;5645;5168;4432;4237;4022;4391;4005
24;8992;8911;9275;8936;8062;7797;5668;5181;4421;4176;4138;4452
25;9321;9182;9043;9376;9033;8149;7921;5833;5346;4551;4599;4205
26;9124;9506;9328;9245;9464;9149;8329;8188;6011;5514;5122;4655
27;9236;9282;9692;9545;9380;9659;9333;8563;8439;6198;4722;5253
28;9772;9434;9438;9952;9727;9464;9891;9577;8764;8640;4859;4826
29;8643;9887;9557;9593;10062;9857;9708;10114;9818;8945;5614;4983
30;8742;8798;10072;9755;9731;10225;10048;9924;10363;10029;6611;5755
31;8145;8811;8843;10285;9858;9821;10412;10272;10169;10532;8365;6716
32;7871;8206;8890;9009;10355;9960;9949;10613;10452;10348;8471;8496
33;7865;7922;8285;9022;9074;10464;10109;10100;10799;10631;8278;8591
34;7592;7904;7978;8364;9060;9135;10577;10261;10294;10970;9114;8397
35;7539;7605;7937;8023;8425;9131;9225;10734;10425;10408;9760;9238
36;7250;7567;7587;8031;8029;8460;9228;9358;10857;10568;9709;9873
37;6972;7269;7578;7657;8032;7992;8502;9329;9473;10936;9039;9773
38;6674;6992;7260;7662;7646;8025;8036;8601;9411;9550;9154;9092
39;6547;6698;6990;7283;7643;7660;8059;8103;8668;9431;8225;9228
40;6179;6532;6682;7004;7258;7661;7653;8102;8132;8727;8364;8240
41;5806;6175;6528;6707;6987;7252;7651;7729;8143;8188;9147;8409
42;5293;5758;6150;6547;6652;6989;7251;7705;7750;8178;7657;9176
43;5037;5270;5761;6149;6524;6644;7011;7273;7713;7772;7463;7683
44;5071;5017;5236;5746;6110;6528;6640;7039;7297;7714;6916;7487
45;5216;5035;4996;5215;5709;6106;6548;6649;7046;7316;7294;6912
46;5436;5212;4996;4990;5185;5698;6103;6551;6667;7044;7141;7271
47;5828;5407;5167;5006;4958;5154;5687;6084;6523;6645;6336;7089
48;6354;5788;5353;5163;4972;4948;5147;5693;6060;6528;5797;6310
49;6523;6332;5731;5338;5148;4965;4916;5125;5689;6036;5833;5768
50;7333;6476;6292;5704;5310;5123;4948;4909;5102;5708;5385;5785
51;7543;7261;6387;6261;5659;5276;5102;4922;4887;5098;5647;5354
52;7714;7481;7183;6354;6194;5652;5249;5090;4921;4862;4598;5633
53;7565;7636;7367;7169;6294;6150;5609;5196;5059;4895;4641;4571
54;7567;7470;7562;7301;7102;6251;6108;5588;5192;5039;4295;4626
55;6941;7473;7374;7499;7229;7035;6221;6054;5553;5158;4590;4267
56;7458;6876;7390;7350;7401;7185;7013;6229;6031;5519;5181;4579
57;7357;7387;6816;7323;7246;7342;7166;6989;6191;5994;5006;5140
58;6743;7259;7275;6763;7271;7184;7290;7101;6935;6136;5377;4953
59;6879;6644;7185;7203;6667;7188;7078;7218;7047;6858;5436;5327
60;6704;6751;6555;7095;7101;6596;7130;7023;7124;6967;6211;5363
61;6489;6578;6662;6458;6993;6991;6514;7042;6958;7024;6831;6154
62;6603;6372;6423;6555;6350;6883;6919;6424;6957;6870;6238;6761
63;5177;6445;6220;6358;6465;6279;6798;6843;6341;6875;6236;6170
64;5447;5064;6309;6102;6234;6359;6175;6723;6740;6208;6250;6152
65;4494;5323;4955;6216;5986;6139;6220;6084;6647;6620;5595;6167
66;2292;4390;5203;4863;6083;5888;6051;6116;5988;6528;5913;5509
67;1511;2226;4301;5129;4739;5947;5810;5925;5993;5881;5653;5798
68;1123;1461;2156;4216;5000;4649;5824;5693;5800;5823;5060;5517
69;2077;1094;1421;2104;4089;4873;4553;5694;5577;5607;4985;4941
70-74;19894;17166;13883;10964;9508;9991;12695;15815;19774;22749;;
75-79;12759;13746;14641;15727;16026;16108;14020;11406;9010;7667;;
80-84 года;9908;9921;9440;9153;8850;8930;9826;10600;11499;11597;10702;9312
85-89 лет;4467;4849;5225;5387;5624;5607;5619;5358;5192;4842;4208;4607
90-94 года;1011;1121;1208;1389;1574;1801;1905;1998;2069;2111;1608;1438
95-99 лет;179;167;188;200;200;218;274;307;333;335;266;220
100 и более лет;12;13;19;26;24;30;20;21;26;40;25;23
